method,horizon_name,horizon_s,train_auc,validation_auc,holdout_auc,baseline_auc,lift_vs_baseline,average_precision_holdout,pd_at_1pct_pfa,pfa_at_1pct_budget,precision_at_1pct_pfa,recall_at_1pct_pfa,pfa_at_80pct_pd,track_initiation_latency_s,track_fragmentation_rate,missed_track_rate,false_track_rate,easy_holdout_auc,medium_holdout_auc,hard_holdout_auc,barely_visible_holdout_auc,unseen_strata_holdout_auc,unseen_confuser_holdout_auc,n_train,n_validation,n_holdout,positive_rate_holdout
catboost_ordered_boosting,ultra_early_5s,5,0.943676,0.945391,0.931086,0.494122,0.436964,0.846863,0.182972,0.010162,0.909091,0.182972,0.123808,0.255146,0.495519,0.564600,0.406056,0.970784,0.914129,0.962112,0.891125,0.923066,0.923066,35000,7500,7500,0.357067
cfar_tbd_fusion,ultra_early_5s,5,0.832041,0.836124,0.844950,0.494122,0.350828,0.690231,0.069455,0.010162,0.791489,0.069455,0.262961,0.255146,0.495519,0.564600,0.406056,0.930533,0.780554,0.904169,0.789124,0.849398,0.849398,35000,7500,7500,0.357067
lightgbm_window_gbdt,ultra_early_5s,5,0.961839,0.955583,0.936442,0.494122,0.442320,0.846658,0.158327,0.010162,0.896406,0.158327,0.104314,0.255146,0.495519,0.564600,0.406056,0.979324,0.916858,0.973812,0.881020,0.925862,0.925862,35000,7500,7500,0.357067
multiview_radar_transformer,ultra_early_5s,5,0.904571,0.906652,0.925076,0.494122,0.430954,0.819328,0.124720,0.010162,0.872063,0.124720,0.127126,0.255146,0.495519,0.564600,0.406056,0.959340,0.939952,0.933407,0.849575,0.934225,0.934225,35000,7500,7500,0.357067
tcn_inception_time,ultra_early_5s,5,0.914520,0.917728,0.915257,0.494122,0.421135,0.797832,0.101568,0.010162,0.847352,0.101568,0.139983,0.255146,0.495519,0.564600,0.406056,0.970179,0.902482,0.943368,0.842913,0.914136,0.914136,35000,7500,7500,0.357067
catboost_ordered_boosting,mid_detection_15s,15,0.948084,0.950900,0.930342,0.496248,0.434094,0.845308,0.171397,0.010162,0.903543,0.171397,0.128370,0.691837,0.726662,0.542569,0.430942,0.974452,0.901865,0.965611,0.896015,0.919975,0.919975,35000,7500,7500,0.357067
cfar_tbd_fusion,mid_detection_15s,15,0.839585,0.844855,0.849053,0.496248,0.352805,0.691244,0.057132,0.010162,0.757426,0.057132,0.260680,0.691837,0.726662,0.542569,0.430942,0.935994,0.782883,0.910342,0.794362,0.850494,0.850494,35000,7500,7500,0.357067
lightgbm_window_gbdt,mid_detection_15s,15,0.964053,0.959186,0.940560,0.496248,0.444312,0.855844,0.172890,0.010162,0.904297,0.172890,0.093115,0.691837,0.726662,0.542569,0.430942,0.977628,0.918017,0.975913,0.888830,0.930624,0.930624,35000,7500,7500,0.357067
multiview_radar_transformer,mid_detection_15s,15,0.909320,0.914046,0.907310,0.496248,0.411062,0.780176,0.102689,0.010162,0.848765,0.102689,0.148901,0.691837,0.726662,0.542569,0.430942,0.962312,0.883992,0.942045,0.845149,0.904899,0.904899,35000,7500,7500,0.357067
tcn_inception_time,mid_detection_15s,15,0.920373,0.925307,0.893926,0.496248,0.397678,0.735663,0.069081,0.010162,0.790598,0.069081,0.170676,0.691837,0.726662,0.542569,0.430942,0.972403,0.849292,0.943168,0.833950,0.881451,0.881451,35000,7500,7500,0.357067
catboost_ordered_boosting,typical_detection_45s,45,0.952574,0.954347,0.934538,0.502306,0.432232,0.847813,0.159447,0.010162,0.897059,0.159447,0.119245,2.346626,1.477595,0.513069,0.452095,0.978945,0.908132,0.964692,0.899598,0.922605,0.922605,35000,7500,7500,0.357067
cfar_tbd_fusion,typical_detection_45s,45,0.848690,0.854268,0.861946,0.502306,0.359640,0.724773,0.080657,0.010162,0.815094,0.080657,0.246578,2.346626,1.477595,0.513069,0.452095,0.940531,0.798812,0.920361,0.804005,0.866431,0.866431,35000,7500,7500,0.357067
lightgbm_window_gbdt,typical_detection_45s,45,0.967336,0.962770,0.944080,0.502306,0.441774,0.862885,0.156460,0.010162,0.895299,0.156460,0.093530,2.346626,1.477595,0.513069,0.452095,0.982226,0.928691,0.974875,0.890947,0.933014,0.933014,35000,7500,7500,0.357067
multiview_radar_transformer,typical_detection_45s,45,0.910310,0.916256,0.926030,0.502306,0.423724,0.830938,0.154593,0.010162,0.894168,0.154593,0.122148,2.346626,1.477595,0.513069,0.452095,0.962402,0.922717,0.950298,0.846009,0.930235,0.930235,35000,7500,7500,0.357067
tcn_inception_time,typical_detection_45s,45,0.920290,0.924910,0.910681,0.502306,0.408374,0.803702,0.135549,0.010162,0.881068,0.135549,0.153049,2.346626,1.477595,0.513069,0.452095,0.963017,0.909298,0.948032,0.851685,0.901686,0.901686,35000,7500,7500,0.357067
